run_id,timestamp_utc,git_commit,dataset,backend,condition,pool_bytes,old_blocks_time_ms,workload,block,pattern,segment,variant,query_id,repetition,outcome,failure_reason,elapsed_ms,rows_returned,result_hash,rep_ts_utc,d_pool_read_requests,d_pool_reads,d_pool_read_ahead,d_pages_made_young,d_pages_not_made_young,free_buffers_after,engine_version,python_version,kernel,cpu_model,ram_bytes
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,1,blind,q_agn_02_mode_share,5,ok,,228.042,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:46.325+00:00,4929,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_01_care_trip_share_total,0,warmup,,155.799,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:47.354+00:00,4934,0,0,0,3638,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_02_mode_share,0,warmup,,239.795,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:47.512+00:00,4934,0,0,0,3638,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_01_care_trip_share_total,1,ok,,156.528,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:47.754+00:00,4934,0,0,864,2552,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_02_mode_share,1,ok,,234.692,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:47.913+00:00,4934,0,0,1006,1286,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_01_care_trip_share_total,2,ok,,166.735,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:48.150+00:00,4934,0,0,1019,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_02_mode_share,2,ok,,237.533,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:48.319+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_01_care_trip_share_total,3,ok,,168.887,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:48.559+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_02_mode_share,3,ok,,240.742,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:48.730+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_01_care_trip_share_total,4,ok,,164.577,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:48.973+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_02_mode_share,4,ok,,249.634,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:49.140+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_01_care_trip_share_total,5,ok,,165.346,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:49.392+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,2,aware,q_agn_02_mode_share,5,ok,,231.892,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:49.560+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_01_care_trip_share_total,0,warmup,,167.241,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:49.798+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_02_mode_share,0,warmup,,250.343,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:49.968+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_01_care_trip_share_total,1,ok,,159.523,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:50.221+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_02_mode_share,1,ok,,234.487,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:50.382+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_01_care_trip_share_total,2,ok,,171.400,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:50.619+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_02_mode_share,2,ok,,239.058,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:50.793+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_01_care_trip_share_total,3,ok,,160.350,1,470b0e85c8256e0128368d105ddd8a6e0c2e6faa260f67cfe7152f9a3ac557de,2026-08-23T12:08:51.035+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
20260823T120843Z-bench2-innodb-c1,2026-08-23 12:08:43,7e544c2628a6871dac20f183914d30f1f2845a16,nhts2017,innodb,c1,134217728,1000,agn,1,ABBA,3,aware,q_agn_02_mode_share,3,ok,,242.889,24,c8deb0342c718de74780090569ec45fbbe19419877210fbdf2ebb707cd6ca030,2026-08-23T12:08:51.197+00:00,4934,0,0,0,0,0,mysql 8.4.11,3.13.13,6.18.33.2-microsoft-standard-WSL2,Intel(R) Core(TM) Ultra 9 275HX,134770941952
