snapshot,git_commit,sex_source,persons_n,persons_pct,person_weight,person_weight_pct,trips_n,trips_pct,trip_weight,trip_weight_pct
61,ef360f52b4badaf0b100354a40e563706be1424a,edited,34,0.0129,67361.9,0.0223,56,0.0061,39047993.5,0.0105
61,ef360f52b4badaf0b100354a40e563706be1424a,imputed,243,0.0920,361287.3,0.1198,711,0.0770,405133869.6,0.1092
61,ef360f52b4badaf0b100354a40e563706be1424a,reported,263957,99.8952,301170519.7,99.8579,922805,99.9170,370707789661.0,99.8803
