ts_utc,run_id,git_commit,backend,variant,table_name,bytes,method
2026-08-08 21:05:52,20260808T210547Z-innodb-blind-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,map_nhts_sex,16384,information_schema_after_analyze
2026-08-08 21:05:52,20260808T210547Z-innodb-blind-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,TOTAL,105775104,information_schema_after_analyze
2026-08-08 21:05:52,20260808T210547Z-innodb-blind-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware_minus_blind,TOTAL,17448960,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,blind,fact_person,15253504,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,blind,fact_trip,73072640,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,blind,TOTAL,88326144,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,dim_gender_identity_code,16384,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,dim_person_sex,17350656,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,dim_sex_code,16384,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,fact_person,15253504,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,fact_trip,73121792,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,map_nhts_sex,16384,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware,TOTAL,105775104,information_schema_after_analyze
2026-08-08 21:06:55,20260808T210646Z-innodb-aware-warm,f9a011727e3954ba68fb5f040a3485a71eb9cf08,innodb,aware_minus_blind,TOTAL,17448960,information_schema_after_analyze
